 rm |      A_hex |                A_dec |                 A_fields ||      B_hex |                B_dec |                 B_fields ||    Out_hex |              Out_dec |               Out_fields |    Ref_hex |              Ref_dec |               Ref_fields | RESULT
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000 | 0x3FA00000 |                 1.25 |  s=0x0 e=0x7F m=0x200000 || 0x3FB00000 |                1.375 |  s=0x0 e=0x7F m=0x300000 || 0x40280000 |                2.625 |  s=0x0 e=0x80 m=0x280000 | 0x40280000 |                2.625 |  s=0x0 e=0x80 m=0x280000 |   PASS
000 | 0x3FA00000 |                 1.25 |  s=0x0 e=0x7F m=0x200000 || 0x443BD800 |              751.375 |  s=0x0 e=0x88 m=0x3BD800 || 0x443C2800 |              752.625 |  s=0x0 e=0x88 m=0x3C2800 | 0x443C2800 |              752.625 |  s=0x0 e=0x88 m=0x3C2800 |   PASS
000 | 0x3FA00000 |                 1.25 |  s=0x0 e=0x7F m=0x200000 || 0x3FA00000 |                 1.25 |  s=0x0 e=0x7F m=0x200000 || 0x40200000 |                  2.5 |  s=0x0 e=0x80 m=0x200000 | 0x40200000 |                  2.5 |  s=0x0 e=0x80 m=0x200000 |   PASS
000 | 0xBFC00000 |                 -1.5 |  s=0x1 e=0x7F m=0x400000 || 0x3FA00000 |                 1.25 |  s=0x0 e=0x7F m=0x200000 || 0xBE800000 |                -0.25 |  s=0x1 e=0x7D m=0x000000 | 0xBE800000 |                -0.25 |  s=0x1 e=0x7D m=0x000000 |   PASS
000 | 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 || 0x80000000 |                 -0.0 |  s=0x1 e=0x00 m=0x000000 || 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 | 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 |   PASS
000 | 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 || 0x2F000000 | 1.1641532182693481e-10 |  s=0x0 e=0x5E m=0x000000 || 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 | 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 |   PASS
000 | 0x5F1B3E64 | 1.1186488475597668e+19 |  s=0x0 e=0xBE m=0x1B3E64 || 0x5F1B3E64 | 1.1186488475597668e+19 |  s=0x0 e=0xBE m=0x1B3E64 || 0x5F9B3E64 | 2.2372976951195337e+19 |  s=0x0 e=0xBF m=0x1B3E64 | 0x5F9B3E64 | 2.2372976951195337e+19 |  s=0x0 e=0xBF m=0x1B3E64 |   PASS
000 | 0x7F800000 |                  inf |  s=0x0 e=0xFF m=0x000000 || 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 || 0x7F800000 |                  inf |  s=0x0 e=0xFF m=0x000000 | 0x7F800000 |                  inf |  s=0x0 e=0xFF m=0x000000 |   PASS
000 | 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 || 0x40000000 |                  2.0 |  s=0x0 e=0x80 m=0x000000 || 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 | 0x7FC00001 |                  nan |  s=0x0 e=0xFF m=0x400001 |   PASS
000 | 0x00000080 | 1.793662034335766e-43 |  s=0x0 e=0x00 m=0x000080 || 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 || 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 | 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 |   PASS
001 | 0x3E99999A |  0.30000001192092896 |  s=0x0 e=0x7D m=0x19999A || 0x3E99999A |  0.30000001192092896 |  s=0x0 e=0x7D m=0x19999A || 0x3F19999A |   0.6000000238418579 |  s=0x0 e=0x7E m=0x19999A | 0x3F19999A |   0.6000000238418579 |  s=0x0 e=0x7E m=0x19999A |   PASS
010 | 0x3E99999A |  0.30000001192092896 |  s=0x0 e=0x7D m=0x19999A || 0x3E4CCCCD |  0.20000000298023224 |  s=0x0 e=0x7C m=0x4CCCCD || 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 | 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 |   PASS
011 | 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 || 0x00000001 | 1.401298464324817e-45 |  s=0x0 e=0x00 m=0x000001 || 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 | 0x3F000001 |   0.5000000596046448 |  s=0x0 e=0x7E m=0x000001 |   FAIL
100 | 0x3F000000 |                  0.5 |  s=0x0 e=0x7E m=0x000000 || 0x3E800000 |                 0.25 |  s=0x0 e=0x7D m=0x000000 || 0x3F400000 |                 0.75 |  s=0x0 e=0x7E m=0x400000 | 0x3F400000 |                 0.75 |  s=0x0 e=0x7E m=0x400000 |   PASS
000 | 0xC2480000 |                -50.0 |  s=0x1 e=0x84 m=0x480000 || 0x42480000 |                 50.0 |  s=0x0 e=0x84 m=0x480000 || 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 | 0x00000000 |                  0.0 |  s=0x0 e=0x00 m=0x000000 |   PASS
100 | 0xD15364FA |       -56745762816.0 |  s=0x1 e=0xA2 m=0x5364FA || 0xAB74D7FE | -8.698596313735929e-13 |  s=0x1 e=0x56 m=0x74D7FE || 0xD15364FA |       -56745762816.0 |  s=0x1 e=0xA2 m=0x5364FA | 0xD15364FA |       -56745762816.0 |  s=0x1 e=0xA2 m=0x5364FA |   PASS
100 | 0x54FA977B |      8610265956352.0 |  s=0x0 e=0xA9 m=0x7A977B || 0x2ACCD8DB | 3.638815323277894e-13 |  s=0x0 e=0x55 m=0x4CD8DB || 0x54FA977B |      8610265956352.0 |  s=0x0 e=0xA9 m=0x7A977B | 0x54FA977B |      8610265956352.0 |  s=0x0 e=0xA9 m=0x7A977B |   PASS
000 | 0x93A76958 | -4.226060373249134e-27 |  s=0x1 e=0x27 m=0x276958 || 0x0DB1F3CC | 1.096715916774812e-30 |  s=0x0 e=0x1B m=0x31F3CC || 0x93A75E39 | -4.2249637487388e-27 |  s=0x1 e=0x27 m=0x275E39 | 0x93A75E39 | -4.2249637487388e-27 |  s=0x1 e=0x27 m=0x275E39 |   PASS
100 | 0x2385B569 | 1.449671908371236e-17 |  s=0x0 e=0x47 m=0x05B569 || 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E || 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E | 0xDDBD011E | -1.7023999666867405e+18 |  s=0x1 e=0xBB m=0x3D011E |   PASS
011 | 0x8CAAFBF6 | -2.6344290716899886e-31 |  s=0x1 e=0x19 m=0x2AFBF6 || 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 || 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 | 0xDBF8E855 | -1.4012249198821376e+17 |  s=0x1 e=0xB7 m=0x78E855 |   PASS
